TIMESTAMP X(mg) Y(mg) Z(mg)
805151431493171328 -1022 169 24
805151431569506432 -1024 134 26
805151431645841408 -1032 82 61
805151431722176384 -902 -283 273
805151431798511488 -1038 1 56
805151431874846464 -1030 23 54
805151431951181568 -878 -149 -76
805151432027516544 -1040 5 54
805151432103851520 -1033 11 73
805151432180186624 -1027 40 54
805151432256521600 -1030 40 55
805151432332856704 -1039 43 66
805151432409191680 -1033 74 59
805151432485526656 -1023 91 53
805151432561861760 -1037 99 117
805151432638196736 -1037 88 92
805151432714531712 -1035 115 99
805151432790866816 -1033 108 75
805151432867201792 -1028 101 39
805151432943536896 -1022 151 161
805151433019871872 -1041 104 -9
805151433096206848 -1025 166 14
805151433172541952 -1027 189 55
805151433248876928 -1028 195 27
805151433325212032 -2140 1857 -1754
805151433401547008 -1028 156 -99
805151433477881984 -1016 173 -89
805151433554217088 -1023 190 -19
805151433630552064 -1025 155 -159
805151433706887040 -1021 172 -58
805151433783222144 -1021 159 -63
805151433859557120 -996 19 4
805151433935892224 -1060 426 -147
805151434012227200 -1067 338 -249
805151434088562176 -1113 90 -75
805151434164897318 -830 123 113
805151434241233024 -1026 78 -16
805151434317568768 -1032 4 34
805151434393904512 -1029 12 171
805151434470240256 -1034 53 37
805151434546576128 -1040 33 65
805151434622911872 -1026 81 27
805151434699247616 -1035 68 49
805151434775583360 -1076 381 83
805151434851919104 -1019 123 -16
805151434928254848 -1049 139 76
805151435004590720 -1030 102 15
805151435080926464 -1035 91 8
805151435157262208 -1021 119 27
805151435233597952 -1030 99 20
805151435309933696 -1035 74 25
805151435386269440 -1031 65 19
805151435462605184 -1042 56 40
805151435538941056 -1032 73 21
805151435615276800 -1031 74 33
805151435691612544 -1030 74 27
805151435767948288 -1037 73 26
805151435844284032 -1033 80 14
805151435920619776 -1035 74 21
805151435996955520 -1034 76 13
805151436073291392 -1038 77 6
805151436149627136 -1030 84 11
805151436225962880 -1034 76 5
805151436302298624 -1115 432 124
805151436378634368 -1034 117 11
805151436454970112 -1029 103 32
805151436531305984 -1018 159 -15
805151436607641728 -1030 114 28
805151436683977472 -1031 113 24
805151436760313216 -1027 103 40
805151436836648960 -938 -154 96
805151436912984704 -1033 82 6
805151436989320448 -1034 82 15
805151437065656320 -1050 64 82
805151437141992064 -1029 88 14
805151437218327808 -1031 85 4
805151437294663552 -1029 82 -8
805151437370999296 -1032 75 -5
805151437447335040 -1031 65 -10
805151437523670784 -1029 57 -16
805151437600006656 -1024 58 10
805151437676342400 -1032 67 2
805151437752678144 -998 -213 224
805151437829013888 -1024 42 -50
805151437905349632 -1037 35 10
805151437981685376 -1048 120 -31
805151438058021248 -1039 59 5
805151438134356992 -1025 87 -2
805151438210692736 -1052 60 -9
805151438287028480 -1040 196 -113
805151438363364224 -1029 76 27
805151438439699968 -1025 273 240
805151438516035712 -1018 158 264
805151438592371584 -1036 125 135
805151438668707328 -1038 132 195
